year,crops,irr,nat_yield,scenario,region_code,irr_label
49,sugarbeets,1,61.402203330105515,control,Control,Irrigated
49,wheat_durum,2,2.4683783562321557,control,Control,Dry
49,wheat_spring,1,4.436207987615334,control,Control,Irrigated
49,wheat_spring,2,3.5760105788842744,control,Control,Dry
49,wheat_winter,1,3.411785964814183,control,Control,Irrigated
49,wheat_winter,2,2.8567515269061556,control,Control,Dry
50,barley_spring,1,6.608046197752589,control,Control,Irrigated
50,barley_spring,2,3.1915132661059844,control,Control,Dry
50,corn_grain,1,7.712314338107022,control,Control,Irrigated
50,corn_grain,2,7.457599438363794,control,Control,Dry
50,corn_silage,1,29.814356343754508,control,Control,Irrigated
50,corn_silage,2,22.84025765356715,control,Control,Dry
50,cotton_upland,1,0.8722251189211087,control,Control,Irrigated
50,cotton_upland,2,0.9880741978251384,control,Control,Dry
50,hay_alfalfa,1,10.367731648639793,control,Control,Irrigated
50,hay_alfalfa,2,4.305194823234718,control,Control,Dry
50,hay_non_alfalfa,1,5.255905085945834,control,Control,Irrigated
50,hay_non_alfalfa,2,4.413586892892601,control,Control,Dry
50,oats_fall,2,1.0728856290122326,control,Control,Dry
50,oats_spring,1,3.4413962878261937,control,Control,Irrigated
50,oats_spring,2,2.209286454964145,control,Control,Dry
50,potatoes_fall,1,50.06098287465231,control,Control,Irrigated
50,potatoes_summer,2,26.02190303661264,control,Control,Dry
50,rice,1,6.536440262137567,control,Control,Irrigated
50,soybeans,1,2.669546737678218,control,Control,Irrigated
50,soybeans,2,2.084844316489638,control,Control,Dry
50,sugarbeets,1,62.2083550668361,control,Control,Irrigated
50,wheat_durum,2,2.45239738063883,control,Control,Dry
50,wheat_spring,1,4.464314780428711,control,Control,Irrigated
50,wheat_spring,2,3.5726719635730686,control,Control,Dry
50,wheat_winter,1,3.4205559562223433,control,Control,Irrigated
50,wheat_winter,2,2.814980061836429,control,Control,Dry
51,barley_spring,1,6.594986551547484,control,Control,Irrigated
51,barley_spring,2,3.1784086112901493,control,Control,Dry
51,corn_grain,1,7.7180659706807155,control,Control,Irrigated
51,corn_grain,2,7.5225585409411595,control,Control,Dry
51,corn_silage,1,29.835632193273245,control,Control,Irrigated
51,corn_silage,2,22.80834369008866,control,Control,Dry
51,cotton_upland,1,0.8894577184319215,control,Control,Irrigated
51,cotton_upland,2,0.9835011158885235,control,Control,Dry
51,hay_alfalfa,1,10.363227516048662,control,Control,Irrigated
51,hay_alfalfa,2,4.432097759050822,control,Control,Dry
51,hay_non_alfalfa,1,5.254355453090901,control,Control,Irrigated
51,hay_non_alfalfa,2,4.447012666673258,control,Control,Dry
51,oats_fall,2,1.1872673631469373,control,Control,Dry
51,oats_spring,1,3.436666756103371,control,Control,Irrigated
51,oats_spring,2,2.16379652356935,control,Control,Dry
51,potatoes_fall,1,49.81731251102681,control,Control,Irrigated
51,potatoes_summer,2,25.967822723125554,control,Control,Dry
51,rice,1,6.569259130594182,control,Control,Irrigated
51,soybeans,1,2.6764155075303506,control,Control,Irrigated
51,soybeans,2,2.113451700305157,control,Control,Dry
51,sugarbeets,1,61.59468639607342,control,Control,Irrigated
51,wheat_durum,2,2.470492632243188,control,Control,Dry
51,wheat_spring,1,4.432039894338974,control,Control,Irrigated
51,wheat_spring,2,3.575591072949037,control,Control,Dry
51,wheat_winter,1,3.194286091110423,control,Control,Irrigated
51,wheat_winter,2,2.812460016803189,control,Control,Dry
52,barley_spring,1,6.602198392247948,control,Control,Irrigated
52,barley_spring,2,3.184652638972113,control,Control,Dry
52,corn_grain,1,7.694700838256889,control,Control,Irrigated
52,corn_grain,2,7.4344691448494284,control,Control,Dry
52,corn_silage,1,30.003904458033364,control,Control,Irrigated
52,corn_silage,2,22.51369633327742,control,Control,Dry
52,cotton_upland,1,0.881678675080022,control,Control,Irrigated
52,cotton_upland,2,0.9807880809669025,control,Control,Dry
52,hay_alfalfa,1,10.36713683650781,control,Control,Irrigated
52,hay_alfalfa,2,4.3806199067436475,control,Control,Dry
52,hay_non_alfalfa,1,5.256333517644975,control,Control,Irrigated
52,hay_non_alfalfa,2,4.457841588213167,control,Control,Dry
52,oats_fall,2,1.1570434689462867,control,Control,Dry
52,oats_spring,1,3.4452978424830047,control,Control,Irrigated
52,oats_spring,2,2.1683527074939586,control,Control,Dry
52,potatoes_fall,1,50.03165146961011,control,Control,Irrigated
